Ticker,Company Name,Sector,Industry Group,Country,Dividend Yield,Dividend Payout Ratio,Last
RNST,Renasant Corp,Financial,Money Center Banks,United States of America,0.021505,0.599323,42.06
ROIC,Retail Opportunity Investments Corp,Financial,REIT - Retail,United States of America,0.049161,0.736874,16.27
ROL,Rollins Inc,Services,Business Services,United States of America,0.00752,0.615308,32.95
ROP,Roper Technologies Inc,Industrial Goods,Diversified Machinery,United States of America,0.005647,0.22544,376.71
RPAI,Retail Properties of America Inc,Financial,REIT - Retail,United States of America,0.024964,5.596939,11.34
RPRX,Repros Therapeutics Inc,Healthcare,Biotechnology,United States of America,0.011101,0.553361,42.54
RS,Reliance Steel & Aluminum Co,Basic Materials,Steel & Iron,United States of America,0.01831,0.440655,140.27
RSG,Republic Services Inc,Industrial Goods,Waste Management,United States of America,0.018164,0.539088,94.43
RTLR,Rattler Midstream LP,Utilities,Oil & Gas Drilling & Exploration,United States of America,0.09692,1.121924,10.92
RUSHB,Rush Enterprises Inc,Services,Auto Dealerships,United States of America,0.015117,0.195505,41.09
RXN,Rexnord Corp,Industrial Goods,Diversified Machinery,United States of America,0.007291,0.16156,47.69
RYN,Rayonier Inc,Industrial Goods,"Lumber, Wood Production",United States of America,0.033416,0.42449,32.96
SACH,Sachem Capital Corp,Financial,REIT - Diversified,United States of America,0.104121,1.049671,4.61
SAFE,Safety Income & Growth Inc,Financial,Property Management,United States of America,0.009365,0.53868,69.63
SAFT,Safety Insurance Group Inc,Financial,Property & Casualty Insurance,United States of America,0.044042,0.394867,83.25
SAL,Salisbury Bancorp Inc,Financial,Regional - Northeast Banks,United States of America,0.026015,0.268028,44.17
SAMG,Silvercrest Asset Management Group Inc,Financial,Asset Management,United States of America,0.043185,0.704547,15.03
SASR,Sandy Spring Bancorp Inc,Financial,Regional - Mid-Atlantic Banks,United States of America,0.031492,0.548462,40.08
SBAC,SBA Communications Corp,Technology,Diversified Communication Services,United States of America,0.007884,8.636795,242.27
SBFG,SB Financial Group Inc,Financial,Regional - Midwest Banks,United States of America,0.021091,0.240729,19.15
SBRA,Sabra Health Care REIT Inc,Financial,REIT - Healthcare Facilities,United States of America,0.068259,2.010584,18.1
SBSI,Southside Bancshares Inc,Financial,Regional - Mid-Atlantic Banks,United States of America,0.035234,0.525897,38.48
SBUX,Starbucks Corp,Services,Specialty Eateries,United States of America,0.016398,2.973851,105.16
SC,Santander Consumer USA Holdings Inc,Financial,Mortgage Investment,United States of America,0.033233,0.233433,26.02
SCCO,Southern Copper Corp,Basic Materials,Copper,United States of America,0.029412,0.737546,73.75
SCHN,Schnitzer Steel Industries Inc,Basic Materials,Steel & Iron,United States of America,0.025365,1.214833,39.01
SCHW,Charles Schwab Corp,Financial,Investment Brokerage - National,United States of America,0.011116,0.387996,65.03
SCI,Service Corporation International,Services,Personal Services,United States of America,0.016887,0.266193,47.43
SCL,Stepan Co,Consumer Goods,Cleaning Products,United States of America,0.009644,0.199011,124.02
SEB,Seaboard Corp,Conglomerates,Conglomerates,United States of America,0.002692,0.035336,3420.32
